#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,building,companyDomain,device_id,location,origin,place
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:40:10Z,31.070819016960385,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:40:20Z,31.22455132341839,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:40:30Z,29.735839560280755,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,0,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:40:40Z,29.35342733345459,value,available_percent,gyeongnam_campus,javame,192.168.71.74,mem,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:25:50Z,5291192210,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:26:00Z,5291715398,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:26:10Z,5291723612,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:26:20Z,5292250665,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:26:30Z,5292788713,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:26:40Z,5292803094,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:26:50Z,5293331023,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:27:00Z,5293512609,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:27:10Z,5293534262,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:27:20Z,5293545774,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:27:30Z,5293555717,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:27:40Z,5293567045,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:27:50Z,5293573905,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:28:00Z,5293598444,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:28:10Z,5293613889,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:28:20Z,5293648063,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:28:30Z,5293682652,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:28:40Z,5293715274,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:28:50Z,5293763155,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:29:00Z,5293771589,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:29:10Z,5293784433,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
,,1,2025-04-24T04:25:41.98175756Z,2025-04-24T04:40:41.98175756Z,2025-04-24T04:29:20Z,5293794800,value,bytes_recv,gyeongnam_campus,javame,192.168.71.74,net,server_data,server_room
