#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,interface
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-20T00:20:00Z,28293263.65,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-20T00:30:00Z,28436943.966666665,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-20T00:40:00Z,28576059.566666666,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-20T00:50:00Z,28719160.933333334,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-20T01:00:00Z,28854328.833333332,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-20T01:10:00Z,28993531.566666666,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-20T01:20:00Z,29132073.45,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-20T01:30:00Z,29267059.466666665,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-20T01:40:00Z,29394064.883333333,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-20T01:50:00Z,29527308,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-20T02:00:00Z,29662323.783333335,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-20T02:10:00Z,29806021.416666668,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-20T02:20:00Z,29930660.05,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-20T02:30:00Z,30066093.25,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-20T02:40:00Z,30213407.816666666,bytes_recv,net,35c4ab29f7e3,eth0
