#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,chip,feature,host
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T20:00:00Z,32.333333333333336,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T20:10:00Z,32.38333333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T20:20:00Z,32.141666666666666,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T20:30:00Z,32.416666666666664,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T20:40:00Z,32.141666666666666,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T20:50:00Z,32.025,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T21:00:00Z,31.983333333333334,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T21:10:00Z,32.275,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T21:20:00Z,32.083333333333336,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T21:30:00Z,32.225,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T21:40:00Z,32.425,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T21:50:00Z,32.016666666666666,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T22:00:00Z,31.958333333333332,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T22:10:00Z,32.21666666666667,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T22:20:00Z,31.866666666666667,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T22:30:00Z,31.716666666666665,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T22:40:00Z,31.85,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T22:50:00Z,32.15,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T23:00:00Z,32.49166666666667,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T23:10:00Z,32.325,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T23:20:00Z,32.25833333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
